rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0030.jpg,12.0,0.8224,0.9352,0.5161,1.0,50,16,False,True
2,frame_0131.jpg,52.4,0.8125,0.8152,0.7097,0.96,49,22,False,True
3,frame_0031.jpg,12.4,0.8069,0.9234,0.4839,1.0,52,15,False,False
4,frame_0130.jpg,52.0,0.7997,0.825,0.6774,0.92,57,21,False,False
5,frame_0023.jpg,9.2,0.7917,0.893,0.4839,1.0,44,15,False,True
6,frame_0072.jpg,28.8,0.7802,0.9088,0.4194,1.0,43,13,False,True
7,frame_0068.jpg,27.2,0.7703,0.8696,0.4516,1.0,59,14,False,False
8,frame_0170.jpg,68.0,0.7694,0.921,0.7097,0.48,66,22,False,True
9,frame_0324.jpg,129.6,0.7677,0.9035,1.0,0.08,87,31,False,True
10,frame_0028.jpg,11.2,0.7556,0.8984,0.3548,1.0,52,11,False,False
11,frame_0132.jpg,52.8,0.7552,0.8587,0.4194,1.0,56,13,False,False
12,frame_0022.jpg,8.8,0.7471,0.8813,0.3548,1.0,32,11,False,False
13,frame_0070.jpg,28.0,0.7448,0.9154,0.2903,1.0,42,9,False,False
14,frame_0027.jpg,10.8,0.744,0.8363,0.4194,1.0,46,13,False,False
15,frame_0372.jpg,148.8,0.7413,0.9701,0.7742,0.12,81,24,False,True
16,frame_0328.jpg,131.2,0.7406,0.9652,0.8065,0.08,92,25,False,False
17,frame_0125.jpg,50.0,0.7394,0.9199,0.4516,0.72,55,14,False,True
18,frame_0268.jpg,107.2,0.7385,0.9031,0.9032,0.08,78,28,False,True
19,frame_0071.jpg,28.4,0.7355,0.8387,0.3871,1.0,41,12,False,False
20,frame_0067.jpg,26.8,0.7327,0.8526,0.3548,1.0,59,11,False,True
21,frame_0333.jpg,133.2,0.7308,0.9458,0.8065,0.08,77,25,False,True
22,frame_0321.jpg,128.4,0.7291,0.933,0.7419,0.2,69,23,False,False
23,frame_0033.jpg,13.2,0.7282,0.8822,0.2903,1.0,49,9,False,False
24,frame_0284.jpg,113.6,0.7208,0.908,0.5161,0.56,43,16,False,True
25,frame_0024.jpg,9.6,0.7182,0.8235,0.3548,1.0,42,11,False,False
26,frame_0076.jpg,30.4,0.7177,0.8932,0.2903,0.92,42,9,False,False
27,frame_0327.jpg,130.8,0.7168,0.953,0.7742,0.04,73,24,False,False
28,frame_0121.jpg,48.4,0.7152,0.8968,0.5161,0.56,54,16,False,False
29,frame_0014.jpg,5.6,0.715,0.8945,0.2258,1.0,40,7,False,False
30,frame_0318.jpg,127.2,0.7131,0.9237,0.6774,0.24,65,21,False,False
31,frame_0221.jpg,88.4,0.7073,0.8928,0.7097,0.24,77,22,False,False
32,frame_0133.jpg,53.2,0.7068,0.7426,0.4516,1.0,60,14,False,False
33,frame_0390.jpg,156.0,0.7064,0.9744,0.6774,0.08,77,21,False,False
34,frame_0126.jpg,50.4,0.7062,0.8567,0.4194,0.76,52,13,False,False
35,frame_0167.jpg,66.8,0.706,0.8623,0.5161,0.6,60,16,False,False
36,frame_0020.jpg,8.0,0.7059,0.857,0.2581,1.0,33,8,False,False
37,frame_0283.jpg,113.2,0.7009,0.9228,0.4516,0.52,45,14,False,False
38,frame_0011.jpg,4.4,0.6982,0.8415,0.2581,1.0,30,8,False,False
39,frame_0293.jpg,117.2,0.698,0.7823,0.5161,0.76,37,16,False,False
40,frame_0032.jpg,12.8,0.6969,0.8197,0.2903,1.0,48,9,False,False
41,frame_0384.jpg,153.6,0.6966,0.9615,0.6129,0.16,63,19,False,False
42,frame_0386.jpg,154.4,0.6939,0.8466,0.7419,0.24,70,23,False,False
43,frame_0017.jpg,6.8,0.6934,0.8126,0.2903,1.0,33,9,False,False
44,frame_0319.jpg,127.6,0.6924,0.9632,0.5161,0.28,72,16,False,False
45,frame_0168.jpg,67.2,0.6882,0.9008,0.4194,0.56,53,13,False,False
46,frame_0325.jpg,130.0,0.6862,0.8918,0.7742,0.04,89,24,False,False
47,frame_0074.jpg,29.6,0.6837,0.8319,0.2258,1.0,35,7,False,False
48,frame_0330.jpg,132.0,0.6821,0.9418,0.6774,0.04,82,21,False,False
49,frame_0128.jpg,51.2,0.6813,0.8138,0.3548,0.84,47,11,False,False
50,frame_0010.jpg,4.0,0.6796,0.7851,0.2903,1.0,35,9,False,False
51,frame_0087.jpg,34.8,0.6786,0.9524,0.3548,0.48,33,11,False,False
52,frame_0213.jpg,85.2,0.6773,0.9758,0.2581,0.56,35,8,False,False
53,frame_0029.jpg,11.6,0.677,0.7798,0.2903,1.0,42,9,False,False
54,frame_0373.jpg,149.2,0.6745,0.9173,0.6129,0.16,73,19,False,False
55,frame_0129.jpg,51.6,0.6738,0.802,0.3226,0.88,55,10,False,False
56,frame_0007.jpg,2.8,0.6724,0.8287,0.1935,1.0,33,6,False,False
57,frame_0398.jpg,159.2,0.6722,0.9194,0.5484,0.24,50,17,False,False
58,frame_0008.jpg,3.2,0.672,0.7891,0.2581,1.0,33,8,False,False
59,frame_0285.jpg,114.0,0.6688,0.8848,0.3548,0.6,46,11,False,False
60,frame_0218.jpg,87.2,0.6678,0.9013,0.4839,0.36,47,15,False,False
61,frame_0005.jpg,2.0,0.6662,0.8162,0.1935,1.0,33,6,False,False
62,frame_0294.jpg,117.6,0.6655,0.8107,0.3871,0.72,41,12,False,False
63,frame_0171.jpg,68.4,0.6639,0.8421,0.5161,0.44,58,16,False,False
64,frame_0295.jpg,118.0,0.6638,0.746,0.5161,0.68,50,16,False,False
65,frame_0069.jpg,27.6,0.6636,0.7917,0.2258,1.0,48,7,False,False
66,frame_0368.jpg,147.2,0.6619,0.9014,0.6774,0.04,67,21,False,False
67,frame_0091.jpg,36.4,0.6601,0.9406,0.4194,0.32,47,13,False,False
68,frame_0185.jpg,74.0,0.6591,0.9379,0.5806,0.08,58,18,False,False
69,frame_0088.jpg,35.2,0.6577,0.8877,0.4194,0.44,46,13,False,False
70,frame_0073.jpg,29.2,0.6566,0.7584,0.2581,1.0,39,8,False,False
71,frame_0320.jpg,128.0,0.6566,0.9269,0.4839,0.24,64,15,False,False
72,frame_0019.jpg,7.6,0.6557,0.7566,0.2581,1.0,32,8,False,False
73,frame_0081.jpg,32.4,0.6551,0.8674,0.2581,0.72,32,8,False,False
74,frame_0025.jpg,10.0,0.6549,0.6969,0.3548,1.0,37,11,False,False
75,frame_0322.jpg,128.8,0.6548,0.9166,0.5484,0.16,71,17,False,False
76,frame_0271.jpg,108.4,0.654,0.9437,0.5806,0.04,72,18,False,False
77,frame_0021.jpg,8.4,0.6529,0.7898,0.1935,1.0,31,6,False,False
